Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
713,17.0,0.1104,"case, present, technique, device, time, patient, develop, provide, assess, lead",we present both an overview and a perspective of recent experimental advances and proposed new approaches to performing computation using memristors a memristor is a 2-terminal passive component with a dynamic resistance depending on an internal parameter we provide an brief historical introduction as well as an overview over the physical mechanism that lead to memristive behavior this review is meant to guide nonpractitioners in the field of memristive circuits and their connection to machine learning and neural computation
714,18.0,0.1137,"system, technology, research, information, datum, development, future, provide, make, service",this draft presents a fault-tolerant network segmentation system for the internet of things (iot) when devices of the iot malfunction or fail recovery needs to be performed to maintain system functionalities in modern ad hoc networks like mobile ad hoc networks (manets) devices usually form dynamical clusters to collaboratively handle highly diverse sensing environments to recover cluster information when parts of the iot are not functioning this study develops a centroid-free network segmentation algorithm that diverts dependency on centroids into empirical-space kernel matrices the original problem of handling nonvectorial centroids is deduced to kernel matrix estimation
715,2.0,0.1604,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity","prevention of frost in horticulture is important but challenging and its realization
especially using green-energy sources will have a huge societal impact
in this paper first we suggest an integrated solar
photovoltaics (pv)-assisted framework where solar energy will be used as a secondary application for frost
prevention (the primary application is electricity production for grid) optimal design and operation of
the suggested integrated system require detailed thermal modeling of air dynamics in the orchard
integrated system optimization and control tasks second in this paper
we address the first task above: development of a novel sophisticated parametric computational fluid dynamics (cfd)
model for orchard air thermal dynamics for different orchard parameters (such as fruit type climate the number of trees
their sizes distance between them etc) and boundary/initial conditions
finally the use of developed parametric cfd model is demonstrated through a case study to calculate the minimal thermal
energy required to prevent frost under different frost levels in a test apricot orchard located in malatya turkey which is
the world capital for dry apricot production"
716,2.0,0.2627,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",distributed energy resources can enhance community resilience to power outages in the aftermath of natural disasters we develop a method to quantify the resilience value that rooftop solar can provide to residential neighborhoods we group homes into geographical clusters and simulate the effect of a disaster that disables the electric grid and damages some of the homes we then use historical energy consumption and solar irradiance data to estimate the likelihood that each cluster could meet its own energy needs given a defined level and pattern of rooftop solar adoption as a case study we apply the method to single family homes in san carlos california subjected to an earthquake based on the 1906 san francisco event we characterize the impact on resilience of increasing adoption of rooftop solar and of grouping homes into resilience clusters for energy sharing policy intervention can ensure more geographically uniform adoption of solar and therefore more even resilience we evaluate the effect and cost of such an intervention finding that a modest subsidy can make a notable difference in evening out resilience across a community
717,18.0,0.1789,"system, technology, research, information, datum, development, future, provide, make, service",this article presents a knowledge mining model where a city can plan its development based on existing knowledge during city expansion for example telecommunication resource allocation and crowd forecast in a new region unlike most works that focused on internet-of-things (iot) sensing this study is aimed at urban planning by using harvested data from the perspective of city architects for large-scale metropolitan areas a massive amount of data is generated every day either from static surveys or dynamic iot sensing for urban planners data collection is not their prior concerns how to transfer harvested knowledge from exiting parts of the city to suburban/rural/ untapped areas is a new challenge this is because those areas still lack sufficient statistics and the density of iot deployment is low therefore development is risky and uncertain to exploit new regions requires knowledge inference such a transition needs data interpretation from historical city dynamics involving sensor deployment human activities and resource allocation in the vicinity with the proposed model of this article a city can estimate the requirement for resources when the peripheral areas on the outskirts of a city develops the same model can be applied to enterprise sides for resource deployment and applications are not merely limited to governments
718,13.0,0.4492,"work, activity, user, wind, type, cost, include, location, platform, order",the application of continuum manipulators as assistive robots is discussed and tested through the use of bendy arm a simple tendon driven continuum manipulator prototype two rounds of user testing were performed to evaluate the potential of this arm to aid people living with disabilities in completing activities of daily living in the first round of user testing 14 able-bodied subjects successfully completed the prescribed task (pick-and-place) using multiple control schemes after being given a brief introduction and one minute of practice with each scheme in the second round of user testing subjects (n=3) demonstrated between 295 and 489 percent improvement in completion time across twelve trials of a peg-in-hole task and between 84 and 338 percent improvement across six trials of a task involving opening and closing a drawer based on these results it is posited that continuum manipulators merit further consideration as a safer and more cost-effective alternative to existing commercially available assistive robotic manipulators
719,12.0,0.1846,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high",the lifting gas used in lighter-than-air systems is usually helium or hydrogen helium is a rare gas and hence very expensive and hydrogen though relatively less expensive and easily available is highly inflammable hot air has been used as an lta gas since the first flight of a balloon in the 18th century but its utilization in tethered aerostat systems has been limited the objective of this project is to examine the feasibility of using hot air as the lta gas in a practical tethered aerostat system in this study the thermal analysis of hot air envelope was conducted to predict heat losses and power requirements this was followed by an experimental study to validate the theoretical values obtained from the thermal model in which an electrical heating system was inserted inside a spherical envelope made of rip-stop nylon with a fire-retardant coating heat loss predictions were extrapolated for a larger size working prototype and feasibility studies were performed the experimental heat loss predictions were far higher than those obtained using the thermal model available in literature the power requirement for the smallest possible spherical working prototype made of polyurethane coated envelope with a radius of 23 m was estimated to be more than 66 kw however for an envelope fabricated with a proprietary material named aerofabrix® around 33% reduction in the power requirement was estimated these results show a promise for a hot-air based tethered aerostat system but with several design and operational challenges which will be highlighted in the paper
720,14.0,0.1595,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",we developed a three-dimensional microstructure analysis system based on the manual serial sectioning method to evaluate the heat treatment effects on chromium carbide size and morphology in aisi d2 tool steel two heat treatment factors austenitizing and tempering temperature were investigated the results show that increasing in austenitizing temperature leads to further carbide precipitation after the tempering process and increasing in the tempering temperature causes precipitate smaller secondary carbides even more than the primary carbides
721,9.0,0.1687,"system, control, field, sensor, current, application, dynamic, drive, describe, function",in this paper we discuss a novel mixed mode 3d xyz scanner built within a single foundry process the device has a large range of motion in x y and z (140 μm in xy and 979 μm in z) and can also rotate about two axes (74°) making it a 5 degree of freedom scanner vertical actuation can be accomplished with both thermal actuators which have a larger range of motion and capacitive actuators which are faster responding fully up to 32 khz  although it is useful for many applications including scanning probe microscopy micrometer scale optical microscopy and manipulation of biological objects the device was designed to be a 3d scanner for spray-painting atoms upon a surface with nanoscale precision and resolution for nanofabrication demonstrating the ability to combine the device with other complicated mems systems it is integrated with an xy scanner designed to serve as a shutter to control the flow of atoms the full system has 7 degrees of freedom and 12 actuation motors and because it is built in a low cost commercial foundry with a robust stable process it is easy and inexpensive to fabricate multiple copies or integrate into other complicated systems making a system of systems
722,14.0,0.2958,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",resistance spot welds made from advanced high strength steels (ahss) exhibit heat affected zone (haz) softening due to the tempering of pre-existing martensite phase and the consequent decomposition into a mixture of ferrite and cementite despite the high strength level for the base metal the occurrence of haz softening may lead to inferior joint strength during tension-shear (ts) and cross-tension (ct) testing in this work we investigated the effects of the haz softening on the global loading response for ahss steels with three different volume fractions of martensite microhardness mapping was used as a measure of martensite tempering and extent of softening based on the data the softening was identified in the sub-critical heat affected zone hardness drop with the magnitude of 6% 18% and 42% was observed in steels with 16% 52% and 100% of martensite volume fraction (mvf) respectively in order to model the welded joint loading response using finite element methods (fem) there is a need to represent the softening in terms of stress-strain relationships in this work local stress-strain curves for different weld zones were obtained by scaling the base metal constitutive properties with local hardness ratio finite element (fe) simulations of tension-shear tests showed that haz softening can affect the tension-shear load capacity of specimens more significantly when the base metal tensile strength is above 1000 mpa the paper will discuss the validity of the above finite element approach for describing experimental results and future directions
723,12.0,0.3515,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high",to meet increasingly stringent regulations for diesel engines technologies such as combustion strategies aftertreatment components and fuel composition have continually evolved the emissions reduction achieved by individual aftertreatment components using the same engine and fuel has been assessed and published previously (liu et al 2008a liu et al 2008b liu et al 2008c) the present study instead adopted a systems approach to evaluate the net effect of the corresponding technologies for model-year 2004 and 2007 engines the 2004 engine was equipped with an exhaust gas recirculation (egr) system while the 2007 engine had an egr system a crankcase emissions coalescer and a diesel particulate filter the test engines were operated under the transient federal test procedure and samples were collected with a source dilution sampling system designed to stimulate atmospheric cooling and dilution conditions the samples were analyzed for elemental carbon organic carbon and c1 c2 and c10 through c33 particle-phase and semi-volatile organic compounds of the more than 150 organic species analyzed the largest portion of the emissions from the 2004 engine consisted of formaldehyde acetaldehyde and naphthalene and its derivatives which were significantly reduced by the 2007 engine and emissions technology the systems approach in this study simulates the operation of real-world diesel engines and may provide insight into the future development of integrated engine technology the results supply updated information for assessing the impact of diesel engine emissions on the chemical processes radiative properties and toxic components of the atmosphere
724,19.0,0.2068,"design, engineering, student, project, study, work, find, paper, include, designer",inquiry-based learning is an educational approach that allows the student to take ownership over the education process by self-identifying a problem and formulating their own solution the application of this method of teaching was explored in an introductory mechanics course taken by both engineering and engineering technology students students were tasked with applying the principles of fundamental static equilibrium analysis to objects found in their normal surroundings the deliverable for this assignment consisted of a photograph of an object they found to be in static equilibrium and a short description of how the state of the object could be described mathematically student submissions for this task exhibited a wide range of quality and imagination examples of student work are presented along with discussion of lessons learned and recommendations for the use of this method in the future the overall student response to this task was positive and thus these efforts will be expanded
725,6.0,0.1712,"method, image, datum, base, detection, level, pattern, specific, human, require",intended for medical students studying the evaluation and diagnosis of heart arrhythmias the beating heart arrhythmia simulator combines visual auditory and tactile stimuli to enhance the student's retention of the subtle differences between various conditions of the heart necessary for diagnosis unlike existing heart arrhythmia simulators our simulator is low cost and easily deployable in the classroom setting a design consisting of solenoid actuators a silicon heart model and a graphical user interface has been developed and prototyped future design development and conceptual validation is necessary prior to deployment
726,3.0,0.3602,"method, motion, compare, measurement, significant, error, measure, accuracy, obtain, condition",through the use of a cadaveric porcine model forces necessary for manipulation of the abdominal organs were evaluated using an instrumented probe additionally forces for tissue puncture knot tightening and suture breakage have been measured in order to determine the requirements placed upon the design of novel robotic surgical tools the break forces for a variety of suture sizes and types were evaluated including sizes 3-0 through 7-0 polypropylene size 1 polybutestor size 4-0 chromic gut and size 6-0 braided polyester tests of the tissue puncture force and knot tightening forces were carried out using the same instrumented probe while the suture break forces were measured using a tension testing machine the measured forces were found to compare well against the literature and provide a good basis from which to design robotic surgical tools with the appropriate capabilities
727,13.0,0.2002,"work, activity, user, wind, type, cost, include, location, platform, order","existing robotic surgical platforms face limitations which include the balance between the scale of the robot and its capability in terms of range of motion load capacity and tool manipulation these limitations can be overcome by taking advantage of fluid power as an enabling technology with its inherent power density and controllability as a proof-of-concept for this approach we are pursuing the design of a novel dexterous robotic surgical tool targeted towards transgastric natural orifice surgery

the design for this hydraulic surgical platform and the corresponding analysis are presented to demonstrate the theoretical system performance in terms of tool positioning and input requirements the design involves a combination of a novel 3d valve hydraulic artificial muscles and multi-segmented flexible manipulator arms that fit in the lumen of an endoscope a dynamic model of the system is created numerical simulations show that a hydraulic endoscopic surgical robot can produce the desired performance without using large external manipulators such as those employed by conventional surgical robots they also provide insight into the component interactions and input response of the system future work will include manufacturing a prototype to validate the concept and the numerical models"
728,18.0,0.2991,"system, technology, research, information, datum, development, future, provide, make, service",improving the service of patient care in hospitals is important for all prioritizing patient safety in the event of a sudden or catastrophic attack in which case the priority is to provide services to the patient in such situations a decision system is needed in order for the system to be right and not wrong to do a decision because the handling of this issue is closely related to the patient's life the patient handling technology supports highly smart healthcare technology which of course is part of the smart city the purpose of this research is to get smart health care model with decision support system model approach in public health service where decision support system model for smart health care can solve health service problem in order to make maximum service for patient
729,9.0,0.1963,"system, control, field, sensor, current, application, dynamic, drive, describe, function",in this paper we discuss the use of pulse width modulation (pwm) to control analog mems devices we achieve precise linear analog control of mems by applying a pwm signal with a frequency well above the system's mechanical natural frequency we first demonstrate this using a parallel plate actuator and comb-drive then extend the technique to control a commerical deformable mirror such an approach allows the system designer to replace expensive drive electronics such as high precision dacs and high voltage linear amplifiers with a simple on-off switch advancements in the electronics industry tend to make precise timing cheaper and faster; our approach exploits these long term trends to create low cost control circuits we also show how pwm control can linearize the positional response of devices where typically the position would depend quadratically on the applied analog voltage
730,0.0,0.2011,"network, vehicle, operation, soil, environment, base, capacity, communication, generate, article","in channels with action dependent states a message is conveyed using two encoders operating sequentially viz
an action encoder and a channel encoder the actions drive the output of a discrete-memoryless channel (dmc)
which in turn forms the state process for the dmc between the channel encoder and receiver assuming non-causal
knowledge of the state-process at the channel encoder a single letter characterization of the capacity is known in
the discrete memoryless case
we consider the action dependent state channel where an additional private message needs to be communicated
by the channel encoder in addition we consider a common reconstruction (cr) of the state at the channel encoder
and decoder capacity characterizations for the discrete memoryless and gaussian versions are presented as a
consequence we settle the capacity characterization of the gaussian action dependent channel with only a common
message and cr we further show that the availability of strictly causal state feedback to the action encoder even
with randomization allowed does not improve the capacity of the action dependent state channel"
731,4.0,0.1358,"model, study, base, develop, performance, predict, perform, datum, configuration, simulate",three-dimensional (3d) bioplotting has been widely used to print hydrogel scaffolds for tissue engineering applications one issue involved in 3d bioplotting is to achieve the scaffold structure with the desired mechanical properties to overcome this issue various numerical methods have been developed to predict the mechanical properties of scaffolds but limited by the imperfect representation of one key feature of scaffolds fabricated by 3d bioplotting ie the penetration or fusion of strands in one layer into the previous layer this paper presents our study on the development of a novel numerical model to predict the elastic modulus (one important index of mechanical properties) of 3d bioplotted scaffolds considering the aforementioned strand penetration for this the finite element method was used for the model development while medium-viscosity alginate was selected for scaffold fabrication by the 3d bioplotting technique the elastic modulus of the bioplotted scaffolds was characterized using mechanical testing and results were compared with those predicted from the developed model demonstrating a strong congruity between them once validated the developed model was also used to investigate the effect of other geometrical features on the mechanical behavior of bioplotted scaffolds our results show that the penetration pore size and number of printed layers have significant effects on the elastic modulus of bioplotted scaffolds; and also suggest that the developed model can be used as a powerful tool to modulate the mechanical behavior of bioplotted scaffolds
732,13.0,0.2488,"work, activity, user, wind, type, cost, include, location, platform, order","soft continuum manipulators have large workspace dexterity and adaptability but at the cost of complex design construction highlighted by concatenating several individually controlled serial segments in this paper we propose a new design
architecture for a soft continuum manipulator composed of a parallel combination of pneumatic actuators the br2 manipulator featured in this paper is asymmetric as it combines one soft bending (b) actuator and two soft rotating (r2) actuators as opposed to state of the art symmetric architectures that adopt bending segments spatial deformation modes are achieved by combining curvature and torsion of the individual actuators this paper formulates a forward analysis method based on cosserat rod mechanics to predict the spatial deformation of the manipulator under the effect of external loads with an accuracy less than 9 % of the manipulator length the model takes into account ‘the coupling effect’ inherent to the asymmetric combination where pressurizing the rotating actuator attenuates the bending
curvature and vice versa consequently the paper studies the optimal design of the manipulator constituents that minimize the coupling and thus maximize the workspace and dexterity a detailed performance study of the br2 manipulator on a
swiveling base demonstrates a spatial workspace quantified by an axisymmetric area and sufficient dexterity such that at least 87% of the workspace can be approached with two or more orientations these are validated through obstacle avoidance and a pick and place task the manipulator is also capable of
whole arm manipulation by spiraling along cylindrical objects of varying diameters these performance attributes surpass any other single segment module and is a potential building block for constructing customized continuum manipulators"
733,13.0,0.2248,"work, activity, user, wind, type, cost, include, location, platform, order",rigid link robots currently dominate the market for manipulators in assistive technology though research on continuum robots for assistive technology has been developing over recent years these types of robots have a continuous backbone that allows them to have infinite degrees of freedom making them highly compliant however this brings challenges in terms of modelling and control  additionally materials for this type of application require specific qualities in this work we attempt to address these problems while designing a continuum arm suitable for assistive technology applications bendy arm 20 is a revised version of the first bendy arm robot to accomplish these goals in its first iteration bendy arm had limitations in its mechanical function such as the structural performance of the backbone which decreased the accuracy in positional control nitinol was tested as a new backbone material but failed during testing so a low density polyethylene was chosen cable conduits were added to help reduce the mechanical coupling between the proximal and distal segments of the manipulator motion processing units (mpu) are utilized to gather tilt angles and provide direction for automated movements due to the arms natural rotation this data alone was not enough to consistently control and place the robot with the information gathered further consideration of backbone material and usage of mpu data is required for an automatable robot
734,17.0,0.1533,"case, present, technique, device, time, patient, develop, provide, assess, lead","awareness and management of the risk of failing to encounter lift is fundamental to thermal soaring when the weather changes or a thermal is missed the pilot may be exposed to a greater risk of landing out in these situations the pilot may need to alter strategies in order to minimize risk exposure at the expense of speed often referred to as ""gear shifting"" in this work we explore several models to explain why small changes in the environment can cause large changes in risk exposure requiring this shifting we also examine several flight strategies in simulation to define the relative risk and reward for adopting various levels of risk tolerance and for failing to ""shift gears"" when the risk of landing out increases"
735,18.0,0.0984,"system, technology, research, information, datum, development, future, provide, make, service","we provide an overview of machine learning (ml)
and its role in hydrology and hydraulic the aim is
to ease the access of researchers in the latter fields
to the techniques in ml"
736,17.0,0.0708,"case, present, technique, device, time, patient, develop, provide, assess, lead","we present a catchment specific emulator based on
non-linear shallow water equations to be used for
early flood warning system in real time"
737,4.0,0.0979,"model, study, base, develop, performance, predict, perform, datum, configuration, simulate","flood prediction in a synthetic trapezoidal com-
pound channel is made using an emulator of the
computationally demanding 2d hydrodynamic
model flow-r2d"
738,8.0,0.1622,"surface, show, study, process, concentration, form, high, low, sample, ion",improving surface finishing is the critical step in the application of an additively manufactured (am) component this paper provides insights into the electropolishing route for the surface improvement of the am component made up of 316 stainless steel with &gt;6% carbon we have discussed the taguchi design of experiment-based process optimization to understand the role of various process parameters profilometry and scanning electron microscopy were performed to study the electropolished and unpolished areas of the am components optical profilometry provided an estimate of the amount of material to be removed to achieve shining and smooth am surface optical profilometry also provided analysis of several roughness parameters on the electropolished surface electropolishing was effective in reducing the surface roughness below ~01 µm rms this sub µm rms roughness makes an am component suitable for major engineering applications sem showed distinctively different microstructure on the electropolished surface we also conducted water contact angle study and spectroscopic reflectance study on electropolished and unpolished am component surface our study revealed that electropolishing is a highly promising route for improving the surface finishing of am components
739,11.0,0.1817,"design, process, membrane, approach, enable, application, demonstrate, component, complex, achieve",reducing the surface roughness of an additively manufactured (am) component is one of the most critical factors in determining the suitability of an am component as produced surface roughness of an am component is very high this prohibits the direct utilization of am components for the intended applications for most of the engineering applications surface roughness must be reduced significantly reducing surface roughness is exponentially more challenging for the internal surfaces of a component this paper reports research in the area of post processing interior surfaces of an am component electropolishing and chemical polishing (chempolishing) methods were applied to reduce the surface roughness of the internal surface  it was found that chempolishing was very effective in simultaneously reducing the internal and external surface roughness of steel am components for any complicated am shape and geometry the electropolishing methodology employed was very effective in reducing the surface roughness of the internal or external surfaces as long as a counter electrode could be positioned in the proximity of the surface to be polished however electropolishing produced better performance on the outer surfaces as compared to chempolishing this paper summarizes research efforts to tackle the critical issue of reducing the surface roughness of complex am components
740,18.0,0.1446,"system, technology, research, information, datum, development, future, provide, make, service",the proliferation of ad hoc sensor networks in various application scenarios has ostensibly called for effective security mechanisms a lot of effort has been put and research has been carried out to tackle various threats that breach the security goals of the network since wireless sensor network (wsn) does not rely on a concrete infrastructure and often deployed in hostile and irregular environments its security requirement also differs vastly with that of traditional networks it thus becomes imperative to design cryptographic algorithms that works efficiently keeping in mind the inherent limitations and constraints on resources computational capability in this paper we present a survey on various security challenges of wsn and mechanisms to tackle the same the aim is to present an extensive literature upon which research on security in wsn can be carried out
741,16.0,0.1686,"problem, time, solution, result, base, team, scale, event, solve, term",temporal and spatial fourier transforms are natural tools in the study of propagating waves in many applications for example the inverse spatial fourier transform specifies how any wave can be built by summing plane waves however sign conventions necessary to describe waves are at odds with sign conventions used in spatio-temporal fourier transforms this note describes the problem and shows several ways that authors deal with it
742,8.0,0.4214,"surface, show, study, process, concentration, form, high, low, sample, ion",in this work tio2 nanoparticles containing diﬀerent amounts of cobalt were synthesized by sol-gel method using titanium (iv) isopropoxide and cobalt chloride as titanium and cobalt precursors respectively x-ray diﬀraction (xrd) results showed prepared samples include 100% anatase phase the presence of cobalt in tio2 nanoparticle network was established by xrd scanning electron microscopy equipped with energy dispersive x-ray microanalysis (sem-edx) fourier transform infrared (ft-ir) and n2 physisorption techniques the increase of cobalt doping enhanced redshif in the diﬀuse reﬂectance spectra the photocatalytic activity of the prepared samples was tested for degradation of methylene blue (mb) as a model of dye although the photocatalytic activity of pure tio2 was found to be higher than that of co/tio2 samples under uv irradiation the presence of 024% cobalt dopant in tio2 nanoparticles resulted in a photocatalyst with the highest activity under visible light
743,14.0,0.1553,"test, composite, material, high, effect, concrete, experimental, increase, strength, result","in the present experimental study the effects of electrical conductivity on electrospraying procedure are investigated
a metallic nozzle with 600 m id as high voltage electrode and a stainless steel ring as a ground
electrode were employed experiments were carried out in still room temperature four different aqueous kcl
solutions were sprayed in various high voltages and flow rates results confirm that spraying modes changes
with conductivity variation for forming a cone shape emerging from the nozzle required applied electric field
decreases with conductivity increasing results also revealed that conductivity of dispersed solution acts a main
role on forming and elongation of the cones in electrospraying procedure the size and velocity of emanated
droplets are also investigated in order to gaining some insight to the electrospraying phenomenon"
744,12.0,0.1596,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high",with increasingly strict legislation and further the introduction of a new testing procedure wltp the highly detailed knowledge of engine friction becomes essential to obtain further fuel economy reductions in the following a novel engine friction testing method is used together with a highly accurate simulation to analyze engine friction exemplary for the renault energy dci 130 diesel engine in great detail and discuss the results in view of the upcoming new testing procedure
745,11.0,0.2401,"design, process, membrane, approach, enable, application, demonstrate, component, complex, achieve",a novel approach for machining of cylindrical hard materials and arbitrary shapes is presented alumina-toughened zirconia dental implants with complex geometry are manufactured with femtosecond quasi-tangential laser ablation this rapid-prototyping approach for small-scale production decreases the  development-time cycle tremendously and trumps conventional approaches moreover a competitive parameter study for radial and tangential ablation with single and multi-pulse is presented a process achieving an ablation rate of 1mm3/min with a surface roughness ra of 02 µm is introduced the meta-stable tetragonal phase of the ceramic persists and is assessed via raman spectroscopy the small heat-affected zone is subsequently ablated with a radial laser process step hence high-precision dental implants with a mean error of smaller 5 µm over the complete contour are shown
746,11.0,0.266,"design, process, membrane, approach, enable, application, demonstrate, component, complex, achieve",quasi-tangential laser processing also called laser turning is increasingly applied for various applications specifically its ability to generate complex geometries with small feature sizes at high precision and surface quality in hard brittle and electrically non-conductive materials due to the geometric flexibility the process is well suited for prototyping in hard-to-machine materials such as ceramics carbides and super-abrasives however the lack of advanced software solutions for this novel process hitherto limited the exploitation of the potential here we discuss a unique computer aided manufacturing approach for synchronous 7-axis laser manufacturing with quasi-tangential strategies this gives the peerless possibility to process arbitrary geometries which cannot be manufactured with conventional techniques a detailed description of the path calculation with derivation and procedures is given the generated machine code is tested on a 7-axis laser manufacturing setup following a processed cylindrical ceramic specimen with a continuously varying profile along a helical path is presented the profile is constituted by a rectangular over half-spherical to a triangular groove with defined pitch which provides the validation of this cam solution measurements of the produced specimen show high adherence with the target geometry with an average deviation below 10 µm
747,16.0,0.4218,"problem, time, solution, result, base, team, scale, event, solve, term",this technical note presents the design of a new area optimized asynchronous early output dual-bit full adder (dbfa) an asynchronous ripple carry adder (rca) is constructed based on the new asynchronous dbfas and existing asynchronous early output single-bit full adders (sbfas) the asynchronous dbfas and sbfas incorporate redundant logic and are encoded using the delay-insensitive dual-rail code (ie homogeneous data encoding) and follow a 4-phase return-to-zero handshaking compared to the previous asynchronous rcas involving dbfas and sbfas which are based on homogeneous or heterogeneous delay-insensitive data encodings and which correspond to different timing models the early output asynchronous rca incorporating the proposed dbfas and/or sbfas is found to result in reduced area for the dual-operand addition operation and feature significantly less latency than the asynchronous rcas which consist of only sbfas the proposed asynchronous dbfa requires 286% less silicon than the previously reported asynchronous dbfa for a 32-bit asynchronous rca utilizing 2 stages of sbfas in the least significant positions and 15 stages of dbfas in the more significant positions leads to optimization in the latency the new early output 32-bit asynchronous rca containing dbfas and sbfas reports the following optimizations in design metrics over its counterparts: i) 188% reduction in area than a previously reported 32-bit early output asynchronous rca which also has 15 stages of dbfas and 2 stages of sbfas ii) 294% reduction in latency than a 32-bit early output asynchronous rca containing only sbfas
748,18.0,0.2021,"system, technology, research, information, datum, development, future, provide, make, service",understanding industry 40 is to assimilate the elements that comprise it and to understand the processes necessary to implement it the objective of this study was to perform a taxonomy regarding the theme industry 40 presenting the main contributions obstacles and perspective regarding the theme to reach this goal this study began with a systematic review through the theory of the consolidated meta-analytic approach presenting the main scientific contributions and key factors of success in the second part an interview was conducted with six researchers in the field of industry 40 to discuss the results of the scientific literature there were nine key factors to the success of industry 40 (cyber-physical systems (cps) internet of things (iot) additive manufacturing digital manufacture (simulation) smart factory big data and analytics cloud computing digital security and advanced robotics) and the major obstacles to implementing these factors in addition the opinions of the specialists were evaluated and categorized them by descending hierarchical classification and confirmatory factorial analysis offering a practical model of implementation
749,6.0,0.3124,"method, image, datum, base, detection, level, pattern, specific, human, require",resting-state functional magnetic resonance imaging (fmri) examines functional connectivity between brain regions by measuring spontaneous fluctuation of blood-oxygen-level dependent (bold) signal while subjects are at rest recent studies have revealed that neurodegenerative diseases are associated with abnormalities in resting-state functional connectivity this thesis work aimed to develop a high-throughput preprocessing pipeline for minimizing spatial and temporal artifacts in resting-state fmri data the building blocks and cluster computing capabilities of the pipeline are discussed in detail in an effort to validate this pipeline a seed-based analysis was performed on preprocessed data using 3 seeds placed in the posterior cingulate cortex (pcc) supplementary motor area (sma) and inferior parietal sulcus (ips) these 3 seeds represent the core components of the default mode network (dmn) and task-positive network (tpn) two of the most commonly examined resting-state networks consistent with literature results indicate that activity in the pcc is functionally correlated to regions of the dmn and anti-correlated to regions of the tpn whereas activities in the sma and ips are functionally correlated to regions of the tpn and anti-correlated to regions of the dmn these functional connectivity patterns were consistent across scans on both group-level and subject-level this preprocessing pipeline will support researchers and clinical collaborators of medical image analysis lab (mial) in their analysis of resting-state functional connectivity
750,2.0,0.1117,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",one of the greatest obstacles in the exploitation of wind and solar resources is the uncertainty in their availability usually known as intermittency effects these effects can be greatly diminished by combining wind and solar resources from different locations in this article we study the temporal variability of solar  irradiance and wind speeds in argentina focusing on current projects and those included in genren and renovar tenders we also converted two year wind speeds and irradiance time series into power production analyzing its compatibility with demand finally we numerically search the best distribution of additional capacity that minimizes a basic measure of the intermittency effect
751,13.0,0.2038,"work, activity, user, wind, type, cost, include, location, platform, order",offshore wind and wave energy are co-located resources and both the offshore wind and wave energy industries are driven to reduce costs while maintaining or increasing power production within developments due to the maturity of offshore wind technology and continued growth of both offshore floating wind and wave energy converter (wec) technology there is new opportunity within the offshore renewable energy sector to combine wind and wave technologies in the same leased ocean space through co-located array development combining wind and wave energy technologies through co-location is projected to have synergistic effects that reduce direct and indirect costs for developments while several of these effects have been quantified many have not been related to cost and there is currently no cost model that incorporates all of these effects further in areas where fixed-bottom offshore wind structures are infeasible floating offshore wind platforms could provide access to plentiful resource further offshore in this paper we develop a cost model that represents co-located array developments particularly for floating offshore wind and wave energy converter technology and identify research gaps and uncertainties to be minimized in future work
752,16.0,0.1467,"problem, time, solution, result, base, team, scale, event, solve, term",localization entails position estimation of sensor nodes by employing different techniques and mathematical computations localizable sensors also form an inherent part in the functioning of iot devices and robotics in this article the author extends1 a novel scheme for node localization implemented using a hybrid fuzzy logic system to trace the node locations inside the deployment region presented by the abhishek kumar et al the results obtained were then optimized using gauss newton optimization to improve the localization accuracy by 50% to 90% vis-à-vis weighted centroid and other fuzzy based localization algorithms this article attempts to scale the proposed scheme for large number of sensor nodes to emulate somewhat real world scenario by introducing cooperative localization in previous presented work the study also analyses the effectiveness of such scaling by comparing the localization accuracy in next section the article incorporates security in the proposed cooperative localization approach to detect malicious nodes/anchors by mutual authentication using el gamel digital signature scheme a detailed study of the impact of incorporating security and scaling on average processing time and localization coverage has also been performed the processing time increased by a factor of 25s for 500 nodes (can be attributed to more number of iterations and computations and large deployment area with small radio range of nodes) and coverage remained almost equal albeit slightly low by a factor of 1% to 2% apart from these the article also discusses the impact of adding extra functionalities in the proposed hybrid fuzzy system based localization scheme on processing time and localization accuracy lastly this study also briefs about how the proposed scalable cooperative and secure localization scheme tackles the type of attacks that pose threat to localization
